# key	text	display pinyin	frequency
a	啊	a	5000
ni	你	nǐ	990
hao	好	hǎo	980
nihao	你好	nǐ hǎo	1200
wo	我	wǒ	1100
women	我们	wǒ men	1250
womenyiqi	我们一起	wǒ men yì qǐ	900
de	的	de	1300
shi	是	shì	1280
bushi	不是	bú shì	1120
zai	在	zài	1220
you	有	yǒu	1180
meiyou	没有	méi yǒu	1180
le	了	le	1260
he	和	hé	1150
ren	人	rén	1050
zhongguo	中国	zhōng guó	1240
zhongwen	中文	zhōng wén	1050
hanzi	汉字	hàn zì	930
pinyin	拼音	pīn yīn	940
shurufa	输入法	shū rù fǎ	1150
shuru	输入	shū rù	1000
shouxie	手写	shǒu xiě	900
shouji	手机	shǒu jī	1020
anzhuo	安卓	ān zhuó	880
keyi	可以	kě yǐ	1140
zhichi	支持	zhī chí	1040
jinri	今日	jīn rì	820
jintian	今天	jīn tiān	1160
mingtian	明天	míng tiān	1090
zuotian	昨天	zuó tiān	980
xianzai	现在	xiàn zài	1120
shijian	时间	shí jiān	1050
shenme	什么	shén me	1190
weishenme	为什么	wèi shén me	1090
zenme	怎么	zěn me	1120
zenmeyang	怎么样	zěn me yàng	1080
zhe	这	zhè	1170
zhege	这个	zhè ge	1160
na	那	nà	1060
nage	那个	nà ge	1050
nali	哪里	nǎ lǐ	970
nage	哪个	nǎ ge	960
shui	谁	shéi	1010
duoshao	多少	duō shao	1000
yi	一	yī	1210
er	二	èr	880
san	三	sān	890
si	四	sì	890
wu	五	wǔ	890
liu	六	liù	890
qi	七	qī	890
ba	吧	ba	5000
jiu	九	jiǔ	890
shi	十	shí	940
ge	个	gè	1160
gei	给	gěi	1050
dao	到	dào	1080
lai	来	lái	1090
qu	去	qù	1080
hui	会	huì	1120
xiang	想	xiǎng	1100
yao	要	yào	1150
xihuan	喜欢	xǐ huan	1080
ai	爱	ài	1050
zhidao	知道	zhī dào	1080
juede	觉得	jué de	1060
kan	看	kàn	1070
ting	听	tīng	970
shuo	说	shuō	1090
du	读	dú	900
xie	写	xiě	910
xuexi	学习	xué xí	1040
gongzuo	工作	gōng zuò	1080
shenghuo	生活	shēng huó	1050
pengyou	朋友	péng you	1050
jiaren	家人	jiā rén	980
daxue	大学	dà xué	980
xuesheng	学生	xué sheng	1020
laoshi	老师	lǎo shī	1010
qing	请	qǐng	1060
xiexie	谢谢	xiè xie	1150
duibuqi	对不起	duì bu qǐ	1080
meiguanxi	没关系	méi guān xi	1020
zaijian	再见	zài jiàn	1080
wanan	晚安	wǎn ān	1030
zaoshang	早上	zǎo shang	1120
zaoshanghao	早上好	zǎo shang hǎo	980
xiawuhao	下午好	xià wǔ hǎo	900
shengri	生日	shēng rì	920
shengrikuaile	生日快乐	shēng rì kuài lè	1000
kuaile	快乐	kuài lè	970
tianqi	天气	tiān qì	1010
henhao	很好	hěn hǎo	1070
bucuo	不错	bú cuò	1030
zhenbang	真棒	zhēn bàng	940
jiayou	加油	jiā yóu	1020
fangbian	方便	fāng biàn	950
wenti	问题	wèn tí	990
huida	回答	huí dá	900
queren	确认	què rèn	920
quxiao	取消	qǔ xiāo	910
baocun	保存	bǎo cún	930
shezhi	设置	shè zhì	930
dakai	打开	dǎ kāi	960
guanbi	关闭	guān bì	950
wancheng	完成	wán chéng	1000
an	安	ān	5000
shishi	试试	shì shi	5000
bukeyi	不可以	bù kě yǐ	5000
mohuyin	模糊音	mó hu yīn	3000
yihuir	一会儿	yī huìr	3000
yihuier	一会儿	yī huì er	3000
zenmejiale	怎么了	zěn me le	3000
buxihuan	不喜欢	bù xǐ huan	3000
da	打	da	5000
da	大	da	4900
zi	字	zi	5000
zi	子	zi	4800
dazi	打字	da zi	5000
dazi	大字	da zi	3000
xigua	西瓜	xi gua	3000
xia	下	xia	4000
gua	瓜	gua	2000
