# aliases	target	target pinyin	components	frequency
jiuri	旮	gā	九+日	900
wangyu,wangyv	珏	jué	王+玉	980
nvzi,nvzi	好	hǎo	女+子	1100
riyue	明	míng	日+月	1080
rimian	昜	yáng	日+一+勿	430
riri	昍	xuān	日+日	360
yuanyuan	朋	péng	月+月	850
mumu	林	lín	木+木	1050
mumumu	森	sēn	木+木+木	1030
renmu	休	xiū	亻+木	1010
renyan	信	xìn	亻+言	1020
renren	从	cóng	人+人	1030
renrenren	众	zhòng	人+人+人	1010
renyun	会	huì	人+云	1020
kouyu	吾	wú	五+口	740
kueba,kouba	只	zhǐ	口+八	930
koukou	吕	lǚ	口+口	650
koukoukou	品	pǐn	口+口+口	940
shangxia	卡	kǎ	上+下	960
tianli	男	nán	田+力	1040
nvma	妈	mā	女+马	1050
nvsheng	姓	xìng	女+生	930
yanwu	语	yǔ	讠+吾	1000
yanren	认	rèn	讠+人	950
yanhe	和	hé	禾+口	1080
shimian	相	xiāng	木+目	1050
muzi	李	lǐ	木+子	1010
gumu	枯	kū	木+古	850
shuiqing	清	qīng	氵+青	1030
shuike	河	hé	氵+可	1040
shuigong	江	jiāng	氵+工	1030
huohuo	炎	yán	火+火	900
huohuohuo	焱	yàn	火+火+火	620
huohuohuohuo	燚	yì	火+火+火+火	560
shishitou	磊	lěi	石+石+石	830
jinjinjin	鑫	xīn	金+金+金	900
niuniuniu	犇	bēn	牛+牛+牛	640
mama ma	骉	biāo	马+马+马	480
